,proportion
0,0.0020522531746499165
1,0.8124204355488305
2,0.1650908563739903
3,0.01741470464316618
4,0.0023467265882310302
5,0.00042585385964038
6,0.00011778936543244553
7,4.530360208940213e-05
8,2.2651801044701064e-05
9,4.530360208940213e-06
10,4.530360208940213e-06
11,1.3591080626820639e-05
12,1.3591080626820639e-05
13,4.530360208940213e-06
14,1.3591080626820639e-05
17,4.530360208940213e-06
22,4.530360208940213e-06
